Bee ID,MC,died during trial?,infect treat,pollen treat,innoc. Date,worker death,days infect,crithidia count,marginal cell,
I,8,yes,U,B,19-May,20-May,1,,,no wing data
II,8,no,U,B,19-May,23-Jul,65,0,3.9,
III,8,no ,U,B,19-May,23-Jul,65,0,4,
IV,8,no ,U,B,19-May,23-Jul,65,0,3.6,
V,8,no ,U,B,19-May,23-Jul,65,0,4.3,
I,9,yes,I,S,19-May,29-May,10,,3.9,
II,9,yes,I,S,19-May,19-Jun,31,,3.9,
III,9,no,I,S,19-May,25-Jun,37,0,4.1,
IV,9,no,I,S,19-May,25-Jun,37,0,4.4,
V,9,no,I,S,19-May,25-Jun,37,,4.4,
I,10,yes,I,B,19-May,20-May,1,,,no wing data
II,10,yes,I,B,19-May,9-Jun,21,,4.1,
III,10,yes,I,B,19-May,24-Jun,36,,4.2,
IV,10,no,I,B,19-May,26-Jun,38,56,4.1,
V,10,no,I,B,19-May,26-Jun,38,,4.5,
I,11,yes,U,S,19-May,20-May,1,,,no wing data
II,11,no,U,S,19-May,2-Jul,44,0,3.4,
III,11,no,U,S,19-May,2-Jul,44,0,4.2,
IV,11,no,U,S,19-May,2-Jul,44,0,4,
V,11,no,U,S,19-May,2-Jul,44,,3.9,
I,12,yes,U,B,19-May,22-May,3,,4.3,
II,12,yes,U,B,19-May,15-Jun,27,,3.7,
III,12,yes,U,B,19-May,18-Jun,30,,3.7,
IV,12,no,U,B,19-May,7-Jul,49,70,3.8,
V,12,no,U,B,19-May,7-Jul,49,83,4.5,
I,13,yes,I,S,19-May,20-May,1,,,no wing data
II,13,yes,I,S,19-May,9-Jun,21,,4.5,
III,13,yes,I,S,19-May,11-Jun,23,,4,
IV,13,no,I,S,19-May,29-Jun,41,0,4.4,
V,13,no,I,S,19-May,29-Jun,41,0,3.9,
I,14,yes,I,B,19-May,20-May,42,,4.2,
II,14,yes,I,B,19-May,9-Jun,43,,4.3,
III,14,yes,I,B,19-May,15-Jun,27,,3.8,
IV,14,yes,I,B,19-May,23-Jun,28,,3.9,
V,14,no,I,B,19-May,23-Jun,35,23,4.5,
I,15,yes,U,S,19-May,22-May,3,,4.2,
II,15,yes,U,S,19-May,15-Jun,27,,3.9,
III,15,no,U,S,19-May,1-Jul,43,0,4.5,
IV,15,no,U,S,19-May,1-Jul,43,0,4,
V,15,no,U,S,19-May,1-Jul,43,,4.5,
I,16,yes,U,B,19-May,21-May,44,,4.2,
