Start Day,Day,Micro. #,Infect.,Pollen,# of bees,Hours Feeding,Nectar consumed,Nectar per bee,Nectar per bee per hour,Pollen consumed,Pollen corrected for evp.,Pollen per bee,Pollen per bee per hour,Corrected pollen per bee per hour
5/19/2015,7,5,I,S,3,.,2.0371,0.679033333,.,0.0776,0.061313333,0.020437778,.,.
5/19/2015,8,5,I,S,3,24.35625,2.1838,0.727933333,0.029886922,0.0833,0.067013333,0.022337778,0.000917127,0.000917127
5/19/2015,9,5,I,S,3,23.99513889,2.2337,0.744566667,0.031029896,0.0724,0.056113333,0.018704444,0.00077951,0.00077951
5/19/2015,10,5,I,S,3,23.54722222,2.2494,0.7498,0.031842397,0.0448,0.028513333,0.009504444,0.000403633,0.000403633
5/19/2015,14,5,I,S,3,.,2.2283,0.742766667,.,0.0623,0.046013333,0.015337778,.,.
5/19/2015,15,5,I,S,3,24.375,2.7689,0.922966667,0.037865299,0.0536,0.037313333,0.012437778,0.000510268,0.000510268
5/19/2015,16,5,I,S,3,23.55902778,2.2958,0.765266667,0.032482948,0.0862,0.069913333,0.023304444,0.000989194,0.000989194
5/19/2015,17,5,I,S,3,24.43055556,2.5686,0.8562,0.035046276,0.078,0.061713333,0.020571111,0.000842024,0.000842024
5/19/2015,22,5,I,S,3,.,2.5688,0.856266667,.,0.0624,0.046113333,0.015371111,.,.
5/19/2015,23,5,I,S,3,23.99722222,2.7767,0.925566667,0.038569742,0.0534,0.037113333,0.012371111,0.000515523,0.000515523
5/19/2015,24,5,I,S,3,23.57222222,2.5458,0.8486,0.036,0.0801,0.063813333,0.021271111,0.00090238,0.00090238
5/19/2015,28,5,I,S,3,.,2.5714,0.857133333,.,0.0683,0.052013333,0.017337778,.,.
5/19/2015,29,5,I,S,3,23.98958333,2.6425,0.880833333,0.036717325,0.079,0.062713333,0.020904444,0.000871397,0.000871397
5/19/2015,30,5,I,S,3,23.98402778,2.819,0.939666667,0.039178852,0.1098,0.093513333,0.031171111,0.001299661,0.001299661
5/19/2015,31,5,I,S,3,24.02916667,3.0841,1.028033333,0.042782729,0.142,0.125713333,0.041904444,0.001743899,0.001743899
5/19/2015,32,5,I,S,3,23.60208333,2.9065,0.968833333,0.041048636,0.1984,0.182113333,0.060704444,0.002571995,0.002571995
5/19/2015,36,5,I,S,3,.,2.1059,0.701966667,.,0.1845,0.168213333,0.056071111,.,.
5/19/2015,37,5,I,S,3,23.90972222,2.7334,0.911133333,0.038107232,0.1753,0.159013333,0.053004444,0.002216857,0.002216857
5/19/2015,38,5,I,S,3,24.45138889,2.5312,0.843733333,0.034506561,0.1445,0.128213333,0.042737778,0.001747867,0.001747867
5/19/2015,42,5,I,S,3,.,2.3049,0.7683,.,0.0618,0.045513333,0.015171111,.,.
5/19/2015,43,5,I,S,3,24.01736111,1.7547,0.5849,0.024353217,0.0375,0.021213333,0.007071111,0.000294417,0.000294417
5/19/2015,1,6,I,B,5,.,3.0441,0.60882,.,0.1063,0.076066667,0.015213333,.,.
5/19/2015,2,6,I,B,5,23.90625,2.9861,0.59722,0.024981752,0.1489,0.118666667,0.023733333,0.000992767,0.000992767
5/19/2015,3,6,I,B,5,23.94097222,3.2797,0.65594,0.027398219,0.1481,0.117866667,0.023573333,0.000984644,0.000984644
5/19/2015,7,6,I,B,4,.,3.0786,0.76965,.,0.0499,0.019666667,0.004916667,.,.
5/19/2015,8,6,I,B,4,24.36319444,3.1554,0.78885,0.032378759,0.0601,0.029866667,0.007466667,0.000306473,0.000306473
5/19/2015,9,6,I,B,4,24.00486111,3.2091,0.802275,0.033421356,.,.,.,.,.
5/19/2015,10,6,I,B,4,23.99652778,3.7354,0.93385,0.038916047,0.0506,0.020366667,0.005091667,0.000212183,0.000212183
5/19/2015,14,6,I,B,4,.,1.6075,0.401875,.,0.0403,0.010066667,0.002516667,.,.
5/19/2015,15,6,I,B,4,24.34583333,3.8139,0.953475,0.039163786,0.0468,0.016566667,0.004141667,0.000170118,0.000170118
5/19/2015,16,6,I,B,4,24.00763889,4.059,1.01475,0.042267797,0.0427,0.012466667,0.003116667,0.00012982,0.00012982
5/19/2015,17,6,I,B,4,23.60416667,2.8417,0.710425,0.03009744,0.0515,0.021266667,0.005316667,0.000225243,0.000225243
5/19/2015,22,6,I,B,5,.,2.8046,0.56092,.,0.0339,0.003666667,0.000733333,.,.
5/19/2015,23,6,I,B,4,24.44791667,3.0952,0.7738,0.031650959,0.0337,0.003466667,0.000866667,3.54495E-05,3.54495E-05
5/19/2015,24,6,I,B,4,24.00833333,3.602,0.9005,0.03750781,.,.,.,.,.
5/19/2015,28,6,I,B,4,.,3.2884,0.8221,.,0.0418,0.011566667,0.002891667,.,.
5/19/2015,29,6,I,B,4,24.47291667,2.5646,0.64115,0.026198349,.,.,.,.,.
5/19/2015,30,6,I,B,4,23.99652778,2.7671,0.691775,0.028828129,0.0499,0.019666667,0.004916667,0.000204891,0.000204891
5/19/2015,31,6,I,B,3,23.59513889,2.8773,0.9591,0.040648203,0.0358,0.005566667,0.001855556,7.86414E-05,7.86414E-05
5/19/2015,32,6,I,B,3,23.94375,2.5262,0.842066667,0.035168537,0.0244,-0.005833333,-0.001944444,-8.12089E-05,.
5/19/2015,36,6,I,B,3,.,2.1161,0.705366667,.,0.0204,-0.009833333,-0.003277778,.,.
5/19/2015,37,6,I,B,3,24.02361111,2.1394,0.713133333,0.029684685,0.01,-0.020233333,-0.006744444,-0.000280742,.
