BeeID,ColonyID,Date,Treatment,Count,WingSize
69,JGC,15336,SUN,0.00,2.05
70,JGC,15336,BUCK,0.00,2.50
71,JGC,15336,SUN,0.00,1.80
72,JGC,15336,BUCK,13.00,2.10
73,JGC,15336,SUN,0.00,2.30
74,JGC,15336,BUCK,14.00,2.00
75,JGC,15336,SUN,0.00,2.05
76,JGA,15338,BUCK,2.00,2.10
78,JGA,15338,BUCK,76.00,2.00
79,JGA,15338,SUN,0.00,1.85
81,JGA,15338,SUN,0.00,2.40
82,JGA,15338,BUCK,5.00,2.10
83,JGA,15338,SUN,0.00,2.20
84,JGA,15338,BUCK,0.00,1.90
85,JGA,15338,SUN,0.00,2.30
86,JGA,15338,BUCK,0.00,2.10
87,JGA,15338,SUN,0.00,1.90
88,JGA,15338,BUCK,0.00,1.85
89,JGA,15338,SUN,0.00,2.20
90,JGA,15338,BUCK,0.00,2.10
91,JGA,15338,SUN,0.00,1.90
92,JGA,15338,BUCK,0.00,2.20
93,JGA,15338,SUN,0.00,1.90
94,JGA,15338,BUCK,0.00,1.90
95,JGA,15338,SUN,0.00,2.00
96,JGA,15338,BUCK,0.00,2.10
97,JGA,15338,SUN,0.00,2.15
98,JGA,15338,BUCK,0.00,2.20
99,JGA,15338,SUN,0.00,1.80
100,JGA,15338,BUCK,0.00,2.15
101,JGB,15338,SUN,0.00,1.70
102,JGB,15338,BUCK,0.00,1.80
103,JGB,15338,SUN,38.00,1.70
104,JGB,15338,BUCK,0.00,2.20
105,JGB,15338,SUN,0.00,2.00
106,JGB,15338,BUCK,0.00,1.75
107,JGB,15338,SUN,0.00,1.70
108,JGB,15338,BUCK,1.00,1.90
109,JGB,15338,SUN,0.00,2.30
110,JGB,15338,BUCK,0.00,2.40
111,JGB,15338,SUN,0.00,2.10
112,JGB,15338,BUCK,0.00,2.10
113,JGB,15338,SUN,0.00,2.15
114,JGB,15338,BUCK,0.00,2.10
115,JGB,15338,SUN,0.00,2.10
116,JGB,15338,BUCK,0.00,2.10
117,JGB,15338,SUN,0.00,2.10
118,JGB,15338,BUCK,2.00,1.75
119,JGB,15338,SUN,0.00,2.20
120,JGB,15338,BUCK,0.00,2.20
121,JGB,15338,SUN,0.00,2.20
122,JGB,15338,BUCK,0.00,2.20
123,JGB,15338,SUN,0.00,1.90
124,JGB,15338,BUCK,12.00,2.20
125,JGB,15338,SUN,0.00,2.20
126,JGC,15338,BUCK,25.00,2.40
127,JGC,15338,SUN,0.00,2.10
128,JGC,15338,BUCK,10.00,2.55
129,JGC,15338,SUN,1.00,1.95
130,JGC,15338,BUCK,17.00,2.00
131,JGC,15338,SUN,0.00,2.35
132,JGC,15338,BUCK,4.00,1.80
133,JGC,15338,SUN,0.00,2.30
134,JGC,15338,BUCK,61.00,1.90
135,JGC,15338,SUN,6.00,1.80
136,JGC,15338,BUCK,0.00,2.10
137,JGC,15338,SUN,0.00,1.80
