BeeID,ColonyID,Treatment,Count ,DissectWeight,WingSize,InocDate,CallowMass
385,JG 7,Sun,0,0.1348,1.76,38,0.1367
386,JG 7,Buck,9,0.1142,1.56,39,0.1153
387,JG 7,Rape,20,0.1815,1.44,39,0.0765
388,JG 7,Mix,7,0.203,1.48,39,0.0998
389,JG 7,Sun,0,0.142,1.68,39,0.1591
390,JG 7,Buck,138,0.1281,1.68,39,0.1292
421,JG 8,Sun,0,0.1983,1.92,32,0.2146
422,JG 8,Buck,139,0.1521,1.84,32,0.1585
423,JG 8,Rape,50,0.1302,1.76,32,0.1458
424,JG 8,Mix,21,0.1591,1.8,32,0.1657
426,JG 8,Buck,200,0.1081,1.56,32,0.1166
427,JG 8,Rape,57,0.1902,1.92,33,0.1808
428,JG 8,Mix,7,0.1653,1.84,33,0.1602
429,JG 8,Sun,1,0.1705,1.8,33,0.1489
430,JG 8,Buck,13,0.1658,1.92,33,0.157
431,JG 8,Rape,62,0.2345,2,33,0.2063
432,JG 8,Mix,0,0.1945,1.96,33,0.2109
433,JG 8,Sun,0,0.1435,1.68,33,0.1345
434,JG 8,Buck,2,0.1773,1.8,33,0.1733
435,JG 8,Rape,38,0.0798,1.32,33,0.0655
436,JG 8,Mix,4,0.1106,1.68,34,0.1245
437,JG 8,Sun,1,0.0993,1.44,34,0.1019
438,JG 8,Buck,123,0.0918,1.36,35,0.0919
439,JG 8,Rape,24,0.104,1.56,36,0.0996
440,JG 8,Mix,159,0.1211,1.56,37,0.0994
441,JG 8,Sun,2,0.0665,1.28,38,0.0647
481,JG 9,Sun,0,0.1093,1.4,32,0.0856
482,JG 9,Buck,100,0.0818,1.28,32,0.0771
483,JG 9,Rape,21,0.0637,1.28,32,0.0542
484,JG 9,Mix,7,0.0927,1.4,32,0.0844
485,JG 9,Sun,1,0.0997,1.4,34,0.0902
487,JG 9,Rape,0,0.0881,1.36,34,0.0823
488,JG 9,Mix,1,0.1223,1.48,35,0.1003
489,JG 9,Sun,13,0.1035,1.4,36,0.08
490,JG 9,Buck,330,0.1078,1.44,36,0.097
491,JG 9,Rape,159,0.1099,1.36,36,0.0801
492,JG 9,Mix,2,0.1158,1.56,37,0.1026
